 n    sin(n)     cos(n)
--   -----       ---------
 1    0.01745    0.00943
 2    0.03490   -0.00726
 3    0.05234   -0.01728
 4    0.06976   -0.01141
 5    0.08716    0.00495
 6    0.10453    0.01676
 7    0.12187    0.01316
 8    0.13917   -0.00254
 9    0.15643   -0.01590
10    0.17365   -0.01464
11    0.19081    0.00008
12    0.20791    0.01473
13    0.22495    0.01584
14    0.24192    0.00239
15    0.25882   -0.01326
16    0.27564   -0.01671
17    0.29237   -0.00480
18    0.30902    0.01152
19    0.32557    0.01726
20    0.34202    0.00712
21    0.35837   -0.00956
22    0.37461   -0.01745
23    0.39073   -0.00930
24    0.40674    0.00740
25    0.42262    0.01730
26    0.43837    0.01129
27    0.45399   -0.00510
28    0.46947   -0.01680
29    0.48481   -0.01306
30    0.50000    0.00269
31    0.51504    0.01597
32    0.52992    0.01456
33    0.54464   -0.00023
34    0.55919   -0.01481
35    0.57358   -0.01577
36    0.58779   -0.00223
37    0.60182    0.01336
38    0.61566    0.01667
39    0.62932    0.00465
40    0.64279   -0.01164
41    0.65606   -0.01723
42    0.66913   -0.00698
43    0.68200    0.00969
44    0.69466    0.01745
45    0.70711    0.00917
46    0.71934   -0.00754
47    0.73135   -0.01732
48    0.74314   -0.01117
49    0.75471    0.00525
50    0.76604    0.01684
51    0.77715    0.01295
52    0.78801   -0.00284
53    0.79864   -0.01603
54    0.80902   -0.01447
55    0.81915    0.00039
56    0.82904    0.01489
57    0.83867    0.01571
58    0.84805    0.00208
59    0.85717   -0.01346
60    0.86603   -0.01662
61    0.87462   -0.00450
62    0.88295    0.01175
63    0.89101    0.01721
64    0.89879    0.00684
65    0.90631   -0.00982
66    0.91355   -0.01745
67    0.92050   -0.00904
68    0.92718    0.00768
69    0.93358    0.01734
70    0.93969    0.01105
71    0.94552   -0.00539
72    0.95106   -0.01688
73    0.95630   -0.01285
74    0.96126    0.00300
75    0.96593    0.01609
76    0.97030    0.01439
77    0.97437   -0.00054
78    0.97815   -0.01497
79    0.98163   -0.01564
80    0.98481   -0.00193
81    0.98769    0.01356
82    0.99027    0.01658
83    0.99255    0.00436
84    0.99452   -0.01187
85    0.99619   -0.01718
86    0.99756   -0.00670
87    0.99863    0.00994
88    0.99939    0.01744
89    0.99985    0.00890
90    1.00000   -0.00782
